REF_AREA,Reference area,MEDICAL_TECH,Medical technology,TIME_PERIOD,OBS_VALUE
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2017,2.2
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2016,2.08
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2015,1.95
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2014,1.63
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2013,1.43
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2012,1.36
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2011,1.11
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2010,0.91
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2009,0.93
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2008,0.83
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2007,0.64
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2006,0.47
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2005,0.37
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2004,0.24
FRA,France,CT_SCAN,Computed tomography (CT) scanners,1998,6.65
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2022,17.94
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2021,17.01
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2020,16.27
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2019,15.35
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2018,14.73
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2017,14.2
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2016,13.56
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2015,12.57
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2014,10.86
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2013,9.4
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2012,8.65
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2011,7.51
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2010,6.96
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2009,6.44
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2008,6.07
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2007,5.49
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2006,5.19
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2005,4.78
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2004,3.86
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2003,3.18
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2002,2.4
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2001,1.83
FRA,France,MRI,Magnetic resonance imaging (MRI) units,2000,1.65
FRA,France,MRI,Magnetic resonance imaging (MRI) units,1999,1.51
FRA,France,MRI,Magnetic resonance imaging (MRI) units,1998,1.18
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2022,3.18
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2021,3
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2020,2.71
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2019,2.48
FRA,France,PET_SCAN,Positron emission tomography (PET) scanners,2018,2.32
FRA,France,GAMMA,Gamma cameras,2022,6.95
FRA,France,GAMMA,Gamma cameras,2021,6.95
FRA,France,GAMMA,Gamma cameras,2020,6.89
FRA,France,GAMMA,Gamma cameras,2019,6.86
FRA,France,GAMMA,Gamma cameras,2018,6.94
FRA,France,GAMMA,Gamma cameras,2017,7.01
FRA,France,GAMMA,Gamma cameras,2016,6.93
FRA,France,GAMMA,Gamma cameras,2015,6.86
FRA,France,GAMMA,Gamma cameras,2014,5.75
FRA,France,GAMMA,Gamma cameras,2013,5.81
FRA,France,GAMMA,Gamma cameras,2012,5.79
FRA,France,GAMMA,Gamma cameras,2011,5.3
FRA,France,GAMMA,Gamma cameras,2010,5.16
FRA,France,GAMMA,Gamma cameras,2009,5.03
FRA,France,GAMMA,Gamma cameras,2008,4.83
FRA,France,GAMMA,Gamma cameras,2007,4.39
FRA,France,GAMMA,Gamma cameras,2006,4.57
FRA,France,GAMMA,Gamma cameras,2005,4.37
FRA,France,GAMMA,Gamma cameras,2004,4.32
FRA,France,GAMMA,Gamma cameras,2003,4.43
FRA,France,GAMMA,Gamma cameras,2002,4.25
FRA,France,GAMMA,Gamma cameras,2001,3.56
FRA,France,GAMMA,Gamma cameras,2000,2.73
FRA,France,GAMMA,Gamma cameras,1999,2.52
FRA,France,GAMMA,Gamma cameras,1998,2
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2022,20.21
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2021,19.53
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2020,18.94
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2019,18.14
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2018,17.64
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2017,17.36
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2016,16.96
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2015,16.58
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2014,15.33
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2013,14.5
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2012,13.5
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2011,12.54
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2010,11.83
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2009,11.09
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2008,10.85
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2007,10.33
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2006,10.38
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2005,10.02
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2004,8.79
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2003,8.08
FRA,France,CT_SCAN,Computed tomography (CT) scanners,2002,7.63
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2021,36.49
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2020,35.91
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2005,29.51
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2004,28.71
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2003,27.55
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2002,27.06
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2001,25.19
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2000,24.61
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2019,35.26
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2018,35.33
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2017,35.13
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2016,35.17
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2015,35.09
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2014,35.34
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2013,33.72
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2012,34.01
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2011,33.48
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2010,32.32
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2009,31.24
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2008,31.15
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2007,29.73
DEU,Germany,CT_SCAN,Computed tomography (CT) scanners,2006,29.12
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2022,34.93
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2021,35.25
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2020,35.02
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2019,34.71
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2018,34.47
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2017,34.71
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2016,34.49
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2015,33.63
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2014,30.5
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2013,28.92
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2012,28.66
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2011,28.86
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2010,27.04
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2009,25.15
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2008,23.6
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2007,22.43
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2006,21.39
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2005,19.89
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2004,18.97
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2003,18.48
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2002,17.51
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2001,15.96
DEU,Germany,MRI,Magnetic resonance imaging (MRI) units,2000,14.32
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2021,33.78
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2020,33.55
GRC,Greece,GAMMA,Gamma cameras,2010,14.21
GRC,Greece,GAMMA,Gamma cameras,2009,13.6
GRC,Greece,GAMMA,Gamma cameras,2008,10.56
GRC,Greece,GAMMA,Gamma cameras,2007,9.96
GRC,Greece,GAMMA,Gamma cameras,2006,9.53
GRC,Greece,GAMMA,Gamma cameras,2005,8.74
GRC,Greece,RT,Radiation therapy equipment,2006,5.35
GRC,Greece,RT,Radiation therapy equipment,2005,5.37
GRC,Greece,GAMMA,Gamma cameras,2022,14.57
GRC,Greece,GAMMA,Gamma cameras,2021,14.57
GRC,Greece,GAMMA,Gamma cameras,2020,13.93
GRC,Greece,GAMMA,Gamma cameras,2019,13.62
GRC,Greece,GAMMA,Gamma cameras,2018,13.88
GRC,Greece,GAMMA,Gamma cameras,2017,14.04
GRC,Greece,GAMMA,Gamma cameras,2016,14.01
GRC,Greece,GAMMA,Gamma cameras,2015,14.6
GRC,Greece,GAMMA,Gamma cameras,2014,14.51
GRC,Greece,GAMMA,Gamma cameras,2013,14.41
GRC,Greece,GAMMA,Gamma cameras,2012,14.31
GRC,Greece,GAMMA,Gamma cameras,2011,14.41
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2019,31.9
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2018,29.35
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2017,28.73
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2016,26.91
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2015,24.77
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2014,22.86
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2013,22.07
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2012,21.91
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2011,22.42
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2010,22.93
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2009,22.06
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2008,19.86
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2007,18.1
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2006,16.52
GRC,Greece,MRI,Magnetic resonance imaging (MRI) units,2005,13.38
GRC,Greece,RT,Radiation therapy equipment,2022,7.05
GRC,Greece,RT,Radiation therapy equipment,2021,6.81
GRC,Greece,RT,Radiation therapy equipment,2020,6.73
GRC,Greece,RT,Radiation therapy equipment,2019,6.62
GRC,Greece,RT,Radiation therapy equipment,2018,7.17
GRC,Greece,RT,Radiation therapy equipment,2017,6.97
GRC,Greece,RT,Radiation therapy equipment,2016,6.77
GRC,Greece,RT,Radiation therapy equipment,2015,6.19
GRC,Greece,RT,Radiation therapy equipment,2014,6.24
GRC,Greece,RT,Radiation therapy equipment,2013,5.65
GRC,Greece,RT,Radiation therapy equipment,2012,5.98
GRC,Greece,RT,Radiation therapy equipment,2011,6.3
GRC,Greece,RT,Radiation therapy equipment,2010,6.29
GRC,Greece,RT,Radiation therapy equipment,2009,5.76
GRC,Greece,RT,Radiation therapy equipment,2008,5.6
GRC,Greece,RT,Radiation therapy equipment,2007,5.52
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2022,1.45
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2021,1.32
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2020,1.31
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2019,1.31
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2018,1.21
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2017,1.12
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2016,1.21
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2015,0.92
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2014,0.46
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2013,0.46
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2012,0.45
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2011,0.36
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2010,0.36
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2009,0.36
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2008,0.36
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2007,0.36
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2006,0.18
GRC,Greece,PET_SCAN,Positron emission tomography (PET) scanners,2005,0.09
GRC,Greece,MAMM,Mammographs,2022,73.83
GRC,Greece,MAMM,Mammographs,2021,70.58
GRC,Greece,MAMM,Mammographs,2020,68.79
GRC,Greece,MAMM,Mammographs,2019,66.78
GRC,Greece,MAMM,Mammographs,2018,65.96
GRC,Greece,MAMM,Mammographs,2017,64.71
GRC,Greece,MAMM,Mammographs,2016,60.32
GRC,Greece,MAMM,Mammographs,2015,60.81
GRC,Greece,MAMM,Mammographs,2014,57.75
GRC,Greece,MAMM,Mammographs,2013,55.91
GRC,Greece,MAMM,Mammographs,2012,55.5
GRC,Greece,MAMM,Mammographs,2011,54.39
GRC,Greece,MAMM,Mammographs,2010,52.51
GRC,Greece,MAMM,Mammographs,2009,49.16
GRC,Greece,MAMM,Mammographs,2008,45.59
GRC,Greece,MAMM,Mammographs,2007,43.36
GRC,Greece,MAMM,Mammographs,2006,39.66
GRC,Greece,MAMM,Mammographs,2005,36.86
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2022,49.13
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2021,45.23
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2020,43.74
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2019,42.53
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2018,40.62
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2017,38.49
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2016,35.91
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2015,36.13
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2014,34.61
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2013,33.65
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2012,33.41
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2011,33.14
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2010,32.73
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2009,31.24
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2008,31.05
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2007,29.33
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2006,26.68
GRC,Greece,CT_SCAN,Computed tomography (CT) scanners,2005,25.48
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1996,1.36
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1995,0.97
HUN,Hungary,MAMM,Mammographs,2002,11.42
HUN,Hungary,MAMM,Mammographs,2001,10.4
HUN,Hungary,MAMM,Mammographs,2000,9.4
HUN,Hungary,MAMM,Mammographs,1999,9.18
HUN,Hungary,MAMM,Mammographs,1998,7.89
HUN,Hungary,MAMM,Mammographs,1997,6.8
HUN,Hungary,MAMM,Mammographs,2016,14.77
HUN,Hungary,MAMM,Mammographs,2015,14.63
HUN,Hungary,MAMM,Mammographs,2014,14.6
HUN,Hungary,MAMM,Mammographs,2013,14.56
HUN,Hungary,MAMM,Mammographs,2012,14.42
HUN,Hungary,MAMM,Mammographs,2011,14.46
HUN,Hungary,MAMM,Mammographs,2010,14.4
HUN,Hungary,MAMM,Mammographs,2009,14.57
HUN,Hungary,MAMM,Mammographs,2008,14.15
HUN,Hungary,MAMM,Mammographs,2007,14.12
HUN,Hungary,MAMM,Mammographs,2006,13.4
HUN,Hungary,MAMM,Mammographs,2005,13.09
HUN,Hungary,MAMM,Mammographs,2004,12.57
HUN,Hungary,MAMM,Mammographs,2003,11.85
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2011,0.4
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2010,0.4
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2009,0.4
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2008,0.6
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2007,0.6
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2006,0.6
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2005,0.5
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2004,0.3
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2003,0.1
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2002,0.1
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2001,0.1
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2000,0.1
HUN,Hungary,GAMMA,Gamma cameras,2017,11.65
HUN,Hungary,GAMMA,Gamma cameras,2016,11.62
HUN,Hungary,GAMMA,Gamma cameras,2015,11.48
HUN,Hungary,GAMMA,Gamma cameras,2014,11.45
HUN,Hungary,GAMMA,Gamma cameras,2013,11.42
HUN,Hungary,GAMMA,Gamma cameras,2012,10.89
HUN,Hungary,GAMMA,Gamma cameras,2011,10.94
HUN,Hungary,GAMMA,Gamma cameras,2010,10.9
HUN,Hungary,GAMMA,Gamma cameras,2009,10.87
HUN,Hungary,GAMMA,Gamma cameras,2008,10.16
HUN,Hungary,GAMMA,Gamma cameras,2007,11.83
HUN,Hungary,GAMMA,Gamma cameras,2006,10.72
HUN,Hungary,GAMMA,Gamma cameras,2005,10.21
HUN,Hungary,GAMMA,Gamma cameras,2004,10.09
HUN,Hungary,GAMMA,Gamma cameras,2003,9.67
HUN,Hungary,GAMMA,Gamma cameras,2002,8.96
HUN,Hungary,GAMMA,Gamma cameras,2001,8.34
HUN,Hungary,GAMMA,Gamma cameras,2000,8.23
HUN,Hungary,MAMM,Mammographs,2017,15.32
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1994,0.77
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1993,0.39
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1992,0.29
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1991,0.29
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1990,0.1
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1989,0.1
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1988,0.09
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1987,0.09
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1986,0.09
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,1985,0.09
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2022,10.68
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2021,10.3
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2020,9.64
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2019,9.42
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2018,9.41
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2017,9.19
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2016,8.86
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2015,8.43
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2014,8.31
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2013,7.88
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2012,7.66
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2011,7.33
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2010,7.3
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2009,7.18
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2008,7.07
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2007,7.26
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2006,7.25
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2005,7.14
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2004,6.83
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2003,6.52
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2002,6.3
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2001,5.99
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,2000,5.68
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1999,5.08
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1998,4.97
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1997,4.57
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1996,4.95
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1995,4.55
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1994,4.16
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1993,3.86
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1992,3.09
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1991,2.99
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1990,1.93
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1989,1.72
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1988,1.32
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1987,0.75
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1986,0.28
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1985,0.28
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1984,0.28
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1983,0.28
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1982,0.28
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1981,0.28
HUN,Hungary,CT_SCAN,Computed tomography (CT) scanners,1980,0.28
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2022,1.04
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2021,1.03
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2020,1.03
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2019,0.92
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2018,0.92
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2017,0.92
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2016,0.61
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2015,0.51
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2014,0.51
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2013,0.4
HUN,Hungary,PET_SCAN,Positron emission tomography (PET) scanners,2012,0.4
HUN,Hungary,RT,Radiation therapy equipment,2017,4.7
HUN,Hungary,RT,Radiation therapy equipment,2016,4.69
HUN,Hungary,RT,Radiation therapy equipment,2015,4.57
HUN,Hungary,RT,Radiation therapy equipment,2014,4.56
HUN,Hungary,RT,Radiation therapy equipment,2013,4.75
HUN,Hungary,RT,Radiation therapy equipment,2012,4.23
HUN,Hungary,RT,Radiation therapy equipment,2011,4.22
HUN,Hungary,RT,Radiation therapy equipment,2010,4.1
HUN,Hungary,RT,Radiation therapy equipment,2009,4.09
HUN,Hungary,RT,Radiation therapy equipment,2008,3.39
HUN,Hungary,RT,Radiation therapy equipment,2007,3.38
HUN,Hungary,RT,Radiation therapy equipment,2006,2.78
HUN,Hungary,RT,Radiation therapy equipment,2005,2.68
HUN,Hungary,RT,Radiation therapy equipment,2004,2.67
HUN,Hungary,RT,Radiation therapy equipment,2003,2.67
HUN,Hungary,RT,Radiation therapy equipment,2002,2.46
HUN,Hungary,RT,Radiation therapy equipment,2001,2.36
HUN,Hungary,RT,Radiation therapy equipment,2000,2.25
HUN,Hungary,RT,Radiation therapy equipment,1992,1.74
HUN,Hungary,RT,Radiation therapy equipment,1991,1.74
HUN,Hungary,RT,Radiation therapy equipment,1990,1.54
HUN,Hungary,RT,Radiation therapy equipment,1989,1.34
HUN,Hungary,RT,Radiation therapy equipment,1988,1.32
HUN,Hungary,RT,Radiation therapy equipment,1987,1.32
HUN,Hungary,RT,Radiation therapy equipment,1986,1.22
HUN,Hungary,RT,Radiation therapy equipment,1985,1.03
HUN,Hungary,RT,Radiation therapy equipment,1984,1.03
HUN,Hungary,RT,Radiation therapy equipment,1983,0.84
HUN,Hungary,RT,Radiation therapy equipment,1982,0.84
HUN,Hungary,RT,Radiation therapy equipment,1981,0.84
HUN,Hungary,RT,Radiation therapy equipment,1980,0.75
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2022,5.6
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2021,5.15
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2020,4.92
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2019,4.91
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2018,4.91
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2017,4.7
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2016,3.97
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2015,3.56
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2014,3.14
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2013,3.03
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2012,2.82
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2011,3.01
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2010,3
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2009,2.79
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2008,2.79
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2007,2.78
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2006,2.58
HUN,Hungary,MRI,Magnetic resonance imaging (MRI) units,2005,2.58
